departmentId,sourceDepartment,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage
kikai,機械,火,1,前期前,1,III-G,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa112107,12F,対象[26-26],,,1
kikai,機械,火,1,前期前,1,III-H,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa112108,13K,対象[26-26],,,1
kikai,機械,火,1,前期前,1,III-I,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa112109,11C,対象[26-26],,,1
kikai,機械,火,1,前期前,1,III-J,Reading and Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa112110,12H,対象[26-26],,,1
kikai,機械,火,1,前期前,2,,再・機械要素設計及び演習,佐藤 秀明 小玉 脩平,saz112145,"13P,機械系 設計製図室 (10号館)",対象[24-17],"対開講(火1前期前,火2前期前, 月1前期後,月2前期後)",○,1
kikai,機械,火,1,前期後,1,III-A,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112111,12J,対象[26-26],,,1
kikai,機械,火,1,前期後,1,III-B,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112112,12G,対象[26-26],,,1
kikai,機械,火,1,前期後,1,III-C,Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112113,12C,対象[26-26],,,1
kikai,機械,火,1,前期後,1,III-D,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112114,12D,対象[26-26],,,1
kikai,機械,火,1,前期後,1,III-E,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112115,12B,対象[26-26],,,1
kikai,機械,火,1,前期後,1,III-F,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112116,12E,対象[26-26],,,1
kikai,機械,火,1,前期後,1,III-G,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112117,12F,対象[26-26],,,1
kikai,機械,火,1,前期後,1,III-H,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112118,13K,対象[26-26],,,1
kikai,機械,火,1,前期後,1,III-I,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112119,11C,対象[26-26],,,1
kikai,機械,火,1,前期後,1,III-J,Reading and Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 鴨下 恵子 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab112120,12H,対象[26-26],,,1
kikai,機械,火,1,前期後,3,,流体力学,冨士原 民雄,sab112146,12A,対象[24-17],"対開講(火1,金1)",,1
