stage,area,subarea,total_required_credits,必修_credits,選択必修1_credits,選択必修2_credits,自由_credits,notes
卒業,共通分野,教養科目,10,0,0,0,10,共通分野。卒業要件として10単位。
卒業,共通分野,体育科目,1,0,1,0,0,△選択必修科目1単位を含む。
卒業,共通分野,外国語科目,8,4,0,0,4,○必修科目4単位を含む。
卒業,専門分野,理工学基礎科目,31,17,4,2,8,○必修17単位、△1選択必修4単位、△2選択必修2単位を含む。
卒業,専門分野,専門科目,60,32,10,2,16,○必修32単位、△1選択必修10単位、△2選択必修2単位を含む。
卒業,自由選択,自由選択,14,0,0,0,14,他区分の余剰・特別履修等を算入。
