departmentId,sourceDepartment,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage
genshiryoku,原子,火,2,前期後,1,,微分積分学(1b)ﾘﾒﾃﾞｨｱﾙｸﾗｽ,井上 浩一 大矢 浩徳,sab112204,12M,対象[26-26],"対開講(火2,金2)",,18
genshiryoku,原子,火,2,前期後,2,,SD PBL(2),大鳥 靖樹 牟田 仁 桑垣 玲子,sab162202,13L,対象[25-20],"対開講(火2,金2)",,18
genshiryoku,原子,火,3,前期,1,,基礎設計製図,黒木 健児,saz162307,機械系設計 製図室(10号 館),対象[20-18],"対開講(火3,火4)",,18
genshiryoku,原子,火,3,前期前,1,,基礎設計製図(a),黒木 健児,saa162305,機械系設計 製図室(10号 館),対象[26-21],"対開講(火3,火4)",,18
genshiryoku,原子,火,3,前期前,3,,原子力実験実習(a),河原林 順 高木 直行 鈴木 徹 大鳥 靖樹 佐藤 勇 松浦 治明 牟田 仁 羽倉 尚人 中村 いずみ 西山 潤,saa162308,"13A,原研,原 子力安全工学科実験室",対象[24-21],"対開講(火3,火4)",,18
genshiryoku,原子,火,3,前期後,1,,基礎設計製図(b),黒木 健児,sab162306,機械系設計 製図室(10号 館),対象[26-21],"対開講(火3,火4)",,18
genshiryoku,原子,火,3,前期後,3,,原子力実験実習(b),河原林 順 高木 直行 鈴木 徹 大鳥 靖樹 佐藤 勇 松浦 治明 牟田 仁 羽倉 尚人 中村 いずみ 西山 潤,sab162309,"13A,原研,原 子力安全工学科実験室",対象[24-21],"対開講(火3,火4)",,18
genshiryoku,原子,火,4,前期,1,,基礎設計製図,黒木 健児,saz162307,機械系設計 製図室(10号 館),対象[20-18],"対開講(火3,火4)",,18
genshiryoku,原子,火,4,前期前,1,,基礎設計製図(a),黒木 健児,saa162305,機械系設計 製図室(10号 館),対象[26-21],"対開講(火3,火4)",,18
genshiryoku,原子,火,4,前期前,3,,原子力実験実習(a),河原林 順 高木 直行 鈴木 徹 大鳥 靖樹 佐藤 勇 松浦 治明 牟田 仁 羽倉 尚人 中村 いずみ 西山 潤,saa162308,"13A,原研,原 子力安全工学科実験室",対象[24-21],"対開講(火3,火4)",,19
genshiryoku,原子,火,4,前期後,1,,基礎設計製図(b),黒木 健児,sab162306,機械系設計 製図室(10号 館),対象[26-21],"対開講(火3,火4)",,19
genshiryoku,原子,火,4,前期後,3,,原子力実験実習(b),河原林 順 高木 直行 鈴木 徹 大鳥 靖樹 佐藤 勇 松浦 治明 牟田 仁 羽倉 尚人 中村 いずみ 西山 潤,sab162309,"13A,原研,原 子力安全工学科実験室",対象[24-21],"対開講(火3,火4)",,19
genshiryoku,原子,火,5,前期,2,,原子力設計製図,黒木 健児,saz162503,13B,対象[20-18],,,19
genshiryoku,原子,火,5,前期前,2,,原子力設計製図(a),黒木 健児,saa162501,13B,対象[25-21],,,19
genshiryoku,原子,火,5,前期後,2,,原子力設計製図(b),黒木 健児,sab162502,13B,対象[25-21],,,19
genshiryoku,原子,水,1,前期前,2,,数理統計学(a),出耒 光夫,saa123105,12A,対象[25-21],,,19
genshiryoku,原子,水,1,前期後,1,,放射線概論,河原林 順 松浦 治明 羽倉 尚人,sab163101,12C,対象[26-18],"対開講(水1,金3)",,19
genshiryoku,原子,水,1,前期後,2,,数理統計学(b),出耒 光夫,sab123106,12A,対象[25-21],,,19
genshiryoku,原子,水,2,前期前,1,,基礎体育(1a),椿原 徹也 山田 盛朗 岩本 哲也 山口 良博,saa123207,-,対象[26-26],,,19
genshiryoku,原子,水,2,前期前,2,,数理統計学(a),出耒 光夫,saa123202,12A,対象[25-21],,,19
genshiryoku,原子,水,2,前期後,1,,基礎体育(1b),椿原 徹也 山田 盛朗 岩本 哲也 山口 良博,sab123208,-,対象[26-26],,,19
genshiryoku,原子,水,2,前期後,2,,数理統計学(b),出耒 光夫,sab123204,12A,対象[25-21],,,19
genshiryoku,原子,木,1,前期前,1,,微分積分学(1a),笹尾 哲,saa164101,13L,対象[26-21],,,19
genshiryoku,原子,木,1,前期前,3,,核燃料･材料工学,佐藤 勇 松浦 治明 佐藤 勇 松浦 治明,saa161105,13J,対象[20-18],"対開講(月1,木1)",,19
genshiryoku,原子,木,1,前期前,3,,核燃料材料・サイクル化 学工学,佐藤 勇 松浦 治明 佐藤 勇 松浦 治明,saa161105,13J,対象[24-21],"対開講(月1,木1)",,19
genshiryoku,原子,木,1,前期後,1,,微分積分学(1b),笹尾 哲,sab164102,13L,対象[26-21],,,19
genshiryoku,原子,木,1,前期後,3,,原子力機械耐震工学,中村 いずみ 大鳥 靖樹 中村 いずみ 大鳥 靖樹,sab161106,11F,対象[20-18],"対開講(月1,木1)",,19
genshiryoku,原子,木,1,前期後,3,,原子力耐震工学,中村 いずみ 大鳥 靖樹 中村 いずみ 大鳥 靖樹,sab161106,11F,対象[24-21],"対開講(月1,木1)",,19
genshiryoku,原子,木,2,前期前,1,II-A,Reading and,中村 優子,saa154201,11C,対象[26-26],,,19
genshiryoku,原子,木,2,前期前,1,II-B,Reading and,秋間 聖代,saa154202,11E,対象[26-26],,,19
genshiryoku,原子,木,2,前期前,1,II-C,Reading and,伊藤 千里,saa154203,13M,対象[26-26],,,19
genshiryoku,原子,木,2,前期前,1,II-D,Reading and,酒井 美江,saa154204,12C,対象[26-26],,,19
genshiryoku,原子,木,2,前期前,1,II-E,Reading and,沢村 静,saa154205,13N,対象[26-26],,,19
genshiryoku,原子,木,2,前期前,1,II-F,Reading and,倉持 和歌子,saa154206,12G,対象[26-26],,,19
genshiryoku,原子,木,2,前期前,1,II-G,Reading and,田中 美和,saa154207,12F,対象[26-26],,,19
genshiryoku,原子,木,2,前期前,1,II-H,Reading and,鴨下 恵子,saa154208,11B,対象[26-26],,,19
genshiryoku,原子,木,2,前期前,1,II-I,Reading and,三幣 友行,saa154209,11D,対象[26-26],,,19
genshiryoku,原子,木,2,前期後,1,II-A,Reading and,中村 優子,sab154211,11C,対象[26-26],,,19
genshiryoku,原子,木,2,前期後,1,II-B,Reading and,秋間 聖代,sab154212,11E,対象[26-26],,,19
genshiryoku,原子,木,2,前期後,1,II-C,Reading and,伊藤 千里,sab154213,13M,対象[26-26],,,19
genshiryoku,原子,木,2,前期後,1,II-D,Reading and,酒井 美江,sab154214,12C,対象[26-26],,,19
