id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-216,Grammar(2b),1,G,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Grammar(2b) 1 1 (1) FL-216 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-217,Test Taking Skills(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Test Taking Skills(1a) 1 1 (1) FL-217 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-218,Test Taking Skills(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Test Taking Skills(1b) 1 1 (1) FL-218 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-219,Test Taking Skills(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Test Taking Skills(2a) 1 1 (1) FL-219 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-22A,Test Taking Skills(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Test Taking Skills(2b) 1 1 (1) FL-22A 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-311,Test Taking Skills(3a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Test Taking Skills(3a) 1 1 (1) FL-311 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-312,Test Taking Skills(3b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Test Taking Skills(3b) 1 1 (1) FL-312 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-22B,Critical Reading(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Reading(1a) 1 1 (1) FL-22B 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22C,Critical Reading(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,科 Critical Reading(1b) 1 1 (1) FL-22C 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22D,Critical Reading(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,目 Critical Reading(2a) 1 1 (1) FL-22D 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22E,ス,1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,ス Critical Reading(2b) 1 1 (1) FL-22E 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-313,キ,1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,キ Critical Reading(3a) 1 1 (1) FL-313 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-314,）,1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,） Critical Reading(3b) 1 1 (1) FL-314 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-21F,Critical Listening(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(1a) 1 1 (1) FL-21F 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-21G,Critical Listening(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(1b) 1 1 (1) FL-21G 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-21H,Critical Listening(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(2a) 1 1 (1) FL-21H 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
