stage,area,subarea,total_required_credits,必修_credits,選択必修1_credits,選択必修2_credits,自由_credits,notes
卒業,基礎科目,外国語科目,8,4,0,0,4,英語科目スキル群より必修4単位を含む
卒業,基礎科目,体育科目,1,0,1,0,0,選択必修科目から1単位
卒業,基礎科目,教養科目,10,0,0,0,10,卒業要件10単位
卒業,専門分野,専門基礎科目,34,0,0,0,34,学科ごとの必修内訳はnotes_rulesで管理
卒業,専門分野,専門科目,60,0,0,0,60,学科基盤科目・学科専門科目を合わせて60単位
卒業,自由選択,自由選択,11,0,0,0,11,各区分の卒業要件超過分を合算
