id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
LA-14A,情報通信入門,2,,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,情報通信入門                                2    2                                                   LA-14A   10    50    0    0    40,pdf_curriculum_table,,source_key=environment
LA-14G,情報処理入門,2,,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,情報処理入門                                2    2                                                   LA-14G   65    10    25   0    0    ＳＣ開講,pdf_curriculum_table,,source_key=environment
LA-244,情報処理基礎,2,,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,情報処理基礎                                2    2                                                   LA-244   65    10    25   0    0    ＳＣ開講,pdf_curriculum_table,,source_key=environment
LA-341,情報処理応用,2,,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,情報処理応用                                2             2                                          LA-341   65    10    25   0    0    ＳＣ開講,pdf_curriculum_table,,source_key=environment
LA-242,科学技術と社会,2,G,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,科学技術と社会                 Ｇ             2                          2                             LA-242   0     60    0    20   20,pdf_curriculum_table,,source_key=environment
LA-958,未来を拓くイノベーション,2,,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,他 未来を拓くイノベーション                            2    2                                                   LA-958   60    20    10   0    10   ＳＣ開講,pdf_curriculum_table,,source_key=environment
LA-933,海外フィールド演習,2,G,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,海外フィールド演習               Ｇ             2             2                                          LA-933   15    15    15   15   40,pdf_curriculum_table,,source_key=environment
LA-936,特別講義(1),2,,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,特別講義(1)                               2             2                                          LA-936   15    15    15   15   40,pdf_curriculum_table,,source_key=environment
LA-937,特別講義(2),2,,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,特別講義(2)                               2                 2                                      LA-937   15    15    15   15   40,pdf_curriculum_table,,source_key=environment
LA-931,インターンシップ(1),1,,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,インターンシップ(1)                           1             2                                          LA-931   15    15    15   15   40,pdf_curriculum_table,,source_key=environment
LA-932,インターンシップ(2),1,,共通分野,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,インターンシップ(2)                           1                 2                                      LA-932   15    15    15   15   40,pdf_curriculum_table,,source_key=environment
RE-131,環境マネジメントシステム,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境マネジメントシステム                      2    2                                 RE-131   15    15   15   15   40,pdf_curriculum_table,,source_key=environment
RE-132,温暖化の科学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,温暖化の科学                            2    2                                 RE-132   10    20   40   20   10,pdf_curriculum_table,,source_key=environment
RE-133,統計学基礎,2,○ ※MS,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,統計学基礎                   ○   ※MS   2    2                                 RE-133   0     15   15   15   55,pdf_curriculum_table,,source_key=environment
RE-134,数学入門,2,※MS,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,数学入門                        ※MS   2    2                                 RE-134   45    15   25   5    10,pdf_curriculum_table,,source_key=environment
RE-135,環境基礎,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境基礎                              2    2                                 RE-135   0     15   15   15   55,pdf_curriculum_table,,source_key=environment
RE-121,基礎生物学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,基礎生物学                             2    2                                 RE-121   30    20   0    0    50,pdf_curriculum_table,,source_key=environment
RE-136,ミクロ経済学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,ミクロ経済学                            2         2                            RE-136   0     15   15   15   55,pdf_curriculum_table,,source_key=environment
RE-141,基礎プログラミング演習(a),1,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,基礎プログラミング演習(a)                    1         1                            RE-141   0     15   15   15   55   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-145,基礎プログラミング演習(b),1,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,基礎プログラミング演習(b)                    1         1                            RE-145   0     15   15   15   55   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-138,環境倫理,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境倫理                              2         2                            RE-138   0     15   15   0    70,pdf_curriculum_table,,source_key=environment
RE-139,持続可能な消費,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,持続可能な消費                           2         2                            RE-139   0     15   15   15   55,pdf_curriculum_table,,source_key=environment
RE-13A,環境統計学,2,※MS,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境統計学                       ※MS   2         2                            RE-13A   15    15   15   15   40,pdf_curriculum_table,,source_key=environment
