departmentId,sourceDepartment,campus,day,period,term,gradeYear,className,title,lectureCode,teacher,room,target,remarks,sourcePage,sourceFile,normalizedTitle
kikai,機械,世田谷,水,3,前期,3,CD,機械工学実験(2),saz113301,三原 雄司 藤間 卓也 亀山 雄高 岸本 喜直,各研究室,対象[20-17],"対開講(水3,水4)",2,2026世田谷キャンパス前期.pdf,機械工学実験(2)
kikai,機械,世田谷,水,4,前期,3,CD,機械工学実験(2),saz113301,三原 雄司 藤間 卓也 亀山 雄高 岸本 喜直,各研究室,対象[20-17],"対開講(水3,水4)",2,2026世田谷キャンパス前期.pdf,機械工学実験(2)
kikai,機械,世田谷,木,1,前期後,1,CD,機械工作概論,sab111111,亀山 雄高,61A,対象[26-17],"対開講(月1,木1)",2,2026世田谷キャンパス前期.pdf,機械工作概論
kikai,機械,世田谷,木,1,前期後,2,CD,機械力学(1),sab114101,櫻井 俊彰,1BF,対象[20-17],"対開講(木1,木2) ○",2,2026世田谷キャンパス前期.pdf,機械力学(1)
kikai,機械,世田谷,木,2,前期,1,SD,PBL(1),saz114201,小林 志好,"61C(1Q),61A",対象[26-26] (2Q),,2,2026世田谷キャンパス前期.pdf,PBL(1)
kikai,機械,世田谷,木,2,前期前,3,SD,内燃機関,saa111204,三原 雄司,1BN,対象[24-17],"対開講(月2,木2)",2,2026世田谷キャンパス前期.pdf,内燃機関
kikai,機械,世田谷,木,2,前期後,2,SD,機械力学(1),sab114101,櫻井 俊彰,1BF,対象[20-17],"対開講(木1,木2)",2,2026世田谷キャンパス前期.pdf,機械力学(1)
kikai,機械,世田谷,木,4,前期前,3,CD,材料加工学,saa111405,亀山 雄高 小玉 脩平,61A,対象[24-21],"対開講(月4,木4)",2,2026世田谷キャンパス前期.pdf,材料加工学
kikai,機械,世田谷,木,4,前期後,2,CD,材料力学(2),sab111402,小林 志好,11A,対象[20-17],"対開講(月4,木4)",2,2026世田谷キャンパス前期.pdf,材料力学(2)
kikai,機械,世田谷,木,4,前期後,3,CD,制御工学(1),sab111404,杉町 敏之,61A,対象[24-17],"対開講(月4,木4)",2,2026世田谷キャンパス前期.pdf,制御工学(1)
kikai,機械,世田谷,木,4,前期後,3,CD,材料加工学(2),sab111403,佐藤 秀明,1BG,対象[20-17],"対開講(月4,木4)",2,2026世田谷キャンパス前期.pdf,材料加工学(2)
kikai,機械,世田谷,木,5,前期前,1,CD,再・SD PBL(1),saa111501,小林 志好,12H,対象[25-20],"対開講(月5,木5)",2,2026世田谷キャンパス前期.pdf,SDPBL(1)
kikai,機械,世田谷,金,1,前期,1,III-A,Communication,saz115101,佐竹 幸信,12G,対象[26-26],,2,2026世田谷キャンパス前期.pdf,Communication
kikai,機械,世田谷,金,1,前期,1,III-B,Communication,saz115102,グルンデル 教子,12H,対象[26-26],,2,2026世田谷キャンパス前期.pdf,Communication
kikai,機械,世田谷,金,1,前期,1,III-D,Communication,saz115104,倉持 和歌子,12E,対象[26-26],,2,2026世田谷キャンパス前期.pdf,Communication
kikai,機械,世田谷,金,1,前期,1,III-E,Communication,saz115105,吹野 佐枝子,11C,対象[26-26],,2,2026世田谷キャンパス前期.pdf,Communication
kikai,機械,世田谷,金,1,前期,1,III-F,Communication,saz115106,大塚 圭,12B,対象[26-26],,2,2026世田谷キャンパス前期.pdf,Communication
kikai,機械,世田谷,金,1,前期,1,III-G,Communication,saz115107,吉田 季実子,12F,対象[26-26],,2,2026世田谷キャンパス前期.pdf,Communication
kikai,機械,世田谷,金,1,前期,1,III-H,Communication,saz115108,松本 弘法,11D,対象[26-26],,2,2026世田谷キャンパス前期.pdf,Communication
kikai,機械,世田谷,金,1,前期,1,III-I,Communication,saz115109,稲垣 亜希子,11B,対象[26-26],,2,2026世田谷キャンパス前期.pdf,Communication
kikai,機械,世田谷,金,1,前期,1,III-J,Communication,saz115110,三宅 加恵,1BL,対象[26-26],,2,2026世田谷キャンパス前期.pdf,Communication
kikai,機械,世田谷,金,1,前期後,3,III-J,流体力学,sab112146,冨士原 民雄,12A,対象[24-17],"対開講(火1,金1)",2,2026世田谷キャンパス前期.pdf,流体力学
kikai,機械,世田谷,金,3,前期,3,III-J,応力解析学及びFEM演習,saz115307,岸本 喜直,12K,対象[24-21],"対開講(金3,金4)",2,2026世田谷キャンパス前期.pdf,応力解析学及びFEM演習
