stage,area,subarea,total_required_credits,必修_credits,選択必修1_credits,選択必修2_credits,自由_credits,notes
卒業,共通分野,教養科目,10,0,0,0,10,卒業要件10単位
卒業,共通分野,体育科目,1,0,1,0,0,体育科目は△選択必修科目1単位を含む
卒業,共通分野,外国語科目,8,4,0,0,4,外国語科目は○必修科目4単位を含む
卒業,専門分野,学部基盤科目,30,0,0,0,30,教育課程表の○必修・△選択必修条件を別途満たすこと
卒業,専門分野,専門科目,66,0,0,0,66,教育課程表の○必修・△選択必修条件を別途満たすこと
卒業,自由選択,自由選択,9,0,0,0,9,各区分の卒業要件超過分を合算
3年次進級,進級条件,3年次進級/事例研究着手,0,0,0,0,0,2年次終了時に、卒業要件非加算を除き60単位以上を修得しなければ3年次に進級できない。
4年次進級,進級条件,4年次進級,0,0,0,0,0,3年以上在学し、卒業要件非加算を除き100単位以上を修得し、各学科の4年次進級条件を満たすこと。
卒業研究着手,着手条件,卒業研究/キャップストーン等,0,0,0,0,0,4年次進級条件を満たすこと。早期着手は学部・大学院一貫教育プログラム等で学科が認める場合に限る。
