id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
SM-241,プロジェクト学習,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,プロジェクト学習                         2           2                         SM-241   20    20   20   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-123,応用統計,2,△1 ※MS,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,応用統計                  △1   ※MS   2         2                           SM-123   15    15   30   0    40,pdf_curriculum_table,,source_key=media_informatics
SM-221,社会メディア実験・測定演習,2,△1,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会メディア実験・測定演習         △1         2           2                         SM-221   60    5    25   0    10   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-222,社会文化フィールドワーク,1,△1,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会文化フィールドワーク          △1         1                1                    SM-222   10    10   30   30   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-223,社会調査設計,2,△1,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会調査設計                △1         2                2                    SM-223   20    20   40   0    20,pdf_curriculum_table,,source_key=media_informatics
SM-224,質的調査演習,2,△1,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,質的調査演習                △1         2                2                    SM-224   30    20   10   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-321,データ分析法,2,△1,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,データ分析法                △1         2                  2                  SM-321   15    10   30   0    45,pdf_curriculum_table,,source_key=media_informatics
SM-322,社会調査実習,2,△1,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会調査実習                △1         2                  2    2             SM-322   10    20   20   20   30   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-151,情報通信技術入門,2,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,学    情報通信技術入門              △2         2    2                                SM-151   10    50   0    0    40,pdf_curriculum_table,,source_key=media_informatics
SM-154,基礎プログラミング演習(1a),1,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科    基礎プログラミング演習(1a)       △2         1    1                                SM-154   20    0    30   10   40   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-155,基礎プログラミング演習(1b),1,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,基礎プログラミング演習(1b)       △2         1    1                                SM-155   20    0    30   10   40   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-156,基礎プログラミング演習(2a),1,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科    基礎プログラミング演習(2a)       △2         1         1                           SM-156   20    0    30   10   40   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-157,基礎プログラミング演習(2b),1,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,目    基礎プログラミング演習(2b)       △2         1         1                           SM-157   20    0    30   10   40   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-152,コンピュータシステム,2,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,コンピュータシステム            △2         2         2                           SM-152   20    30   0    0    50,pdf_curriculum_table,,source_key=media_informatics
SM-153,コンピュータグラフィックス,2,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,コンピュータグラフィックス         △2         2         2                           SM-153   30    10   20   20   20,pdf_curriculum_table,,source_key=media_informatics
SM-242,インフォグラフィックスデザイン演習,2,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,インフォグラフィックスデザイン演習     △2         2           2                         SM-242   20    20   20   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-246,インタフェースデザイン演習,2,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,インタフェースデザイン演習         △2         2                2                    SM-246   20    20   20   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-255,電子商取引論,2,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,電子商取引論                △2         2                2                    SM-255   20    20   20   10   30               10,pdf_curriculum_table,,source_key=media_informatics
