id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-22A,Test Taking Skills(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Test Taking Skills(2b) 1 1 (1) FL-22A 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-311,Test Taking Skills(3a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Test Taking Skills(3a) 1 1 (1) FL-311 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-312,Test Taking Skills(3b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Test Taking Skills(3b) 1 1 (1) FL-312 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-22B,Critical Reading(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Critical Reading(1a) 1 1 (1) FL-22B 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22C,Critical Reading(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科 Critical Reading(1b) 1 1 (1) FL-22C 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22D,Critical Reading(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,目 Critical Reading(2a) 1 1 (1) FL-22D 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22E,ス,1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ス Critical Reading(2b) 1 1 (1) FL-22E 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-313,キ,1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,キ Critical Reading(3a) 1 1 (1) FL-313 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-314,）,1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,） Critical Reading(3b) 1 1 (1) FL-314 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-21F,Critical Listening(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Critical Listening(1a) 1 1 (1) FL-21F 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-21G,Critical Listening(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Critical Listening(1b) 1 1 (1) FL-21G 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-21H,Critical Listening(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Critical Listening(2a) 1 1 (1) FL-21H 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-21I,Critical Listening(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Critical Listening(2b) 1 1 (1) FL-21I 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-315,Critical Listening(3a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Critical Listening(3a) 1 1 (1) FL-315 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-316,Critical Listening(3b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Critical Listening(3b) 1 1 (1) FL-316 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-21J,Communication Strategies(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Communication Strategies(1a) 1 1 (1) FL-21J 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-21K,Communication Strategies(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Communication Strategies(1b) 1 1 (1) FL-21K 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-21L,Communication Strategies(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Communication Strategies(2a) 1 1 (1) FL-21L 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-21M,Communication Strategies(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,基 Communication Strategies(2b) 1 1 (1) FL-21M 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-317,Communication Strategies(3a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,語 Communication Strategies(3a) 1 1 (1) FL-317 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-318,Communication Strategies(3b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,目 Communication Strategies(3b) 1 1 (1) FL-318 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-21N,Academic English(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Academic English(1a) 1 1 (1) FL-21N 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-21O,Academic English(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Academic English(1b) 1 1 (1) FL-21O 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-21P,Academic English(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Academic English(2a) 1 1 (1) FL-21P 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
