stage,area,subarea,total_required_credits,必修_credits,選択必修1_credits,選択必修2_credits,自由_credits,notes
卒業,基礎科目,外国語科目,8,0,0,0,8,卒業要件8単位
卒業,基礎科目,体育科目,1,0,1,0,0,体育科目1単位
卒業,基礎科目,教養科目,10,0,0,0,10,卒業要件10単位
卒業,学科基盤科目,専門基礎科目,33,0,0,0,33,教育課程表の○必修・△選択必修条件を別途満たすこと
卒業,学科専門科目,専門科目,60,0,0,0,60,教育課程表の○必修・△選択必修条件を別途満たすこと
卒業,自由選択科目,自由選択,12,0,0,0,12,各区分の卒業要件超過分を合算
3年次進級,進級・着手条件,3年次進級,0,0,0,0,0,2年以上在学し、66単位以上を修得しなければ3年次に進級できない。
4年次進級,進級・着手条件,4年次進級,0,0,0,0,0,4年次進級条件は個別明記ではなく卒業研究着手条件として管理。
卒業研究着手,進級・着手条件,卒業研究,0,0,0,0,0,3年以上在学し、事例研究を含む100単位以上を修得しなければ卒業研究に着手できない。
