id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
HS-211,SD PBL(2) 演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,SD PBL(2)             演習   ○   ○   1     －       －           1                 HS-211   20    20   10   20   30,pdf_curriculum_table,,source_key=human
HS-311,SD PBL(3) 演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,SD PBL(3)             演習   ○   ○   1     －       －                         2   HS-311   9     24   24   24   19,pdf_curriculum_table,,source_key=human
HS-323,保育者論講義,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育者論                  講義   ○       2     ○       ○                         2   HS-323   30    20   0     0   50,pdf_curriculum_table,,source_key=human
HS-232,教育心理学講義,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,教育心理学                 講義   ○       2     ○       ○               2             HS-232   20    25   10   15   30,pdf_curriculum_table,,source_key=human
HS-332,子ども理解の理論と方法演習,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,子ども理解の理論と方法           演習   ○       2     ○       ○                     2       HS-332   30    20   20   10   20,pdf_curriculum_table,,source_key=human
HS-261,子ども家庭支援論講義,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,子ども家庭支援論              講義           2     ○       －           2                 HS-261   20    30   10   10   30,pdf_curriculum_table,,source_key=human
HS-223,保育の計画と評価講義,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育の計画と評価              講義           2     ○       －               2             HS-223   30    10   20   10   30,pdf_curriculum_table,,source_key=human
HS-322,カリキュラム論講義,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,カリキュラム論               講義           1     －       ○                         1   HS-322   10    10   10   10   60,pdf_curriculum_table,,source_key=human
HS-344,保育内容健康指導法演習,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,専       保育内容健康指導法             演習           2     ○       ○                         2   HS-344   10    20   20   20   30,pdf_curriculum_table,,source_key=human
HS-242,保育内容人間関係指導法演習,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,門       保育内容人間関係指導法           演習           2     ○       ○           2                 HS-242   30    10   20   10   30,pdf_curriculum_table,,source_key=human
HS-341,保育内容環境指導法演習,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,科       保育内容環境指導法             演習           2     ○       ○                     2       HS-341   20    30   0     0   50,pdf_curriculum_table,,source_key=human
HS-247,保育内容言葉指導法演習,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,目       保育内容言葉指導法             演習           2     ○       ○               2             HS-247   30    20   0    25   25,pdf_curriculum_table,,source_key=human
HS-245,保育内容表現指導法演習,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育内容表現指導法             演習           2     ○       ○               2             HS-245   40    0    0    30   30,pdf_curriculum_table,,source_key=human
HS-171,乳児保育(1)講義,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,乳児保育(1)               講義           2     ○       －       2                     HS-171   40    10   10   30   10,pdf_curriculum_table,,source_key=human
HS-371,乳児保育(2)演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,乳児保育(2)               演習           1     ○       －                     1       HS-371   40    20   20   20   0,pdf_curriculum_table,,source_key=human
HS-271,演習,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,演習   ○       2     ○       ○               2             HS-271   30    0    20   30   20,pdf_curriculum_table,,source_key=human
HS-362,社会的養護(2)演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,社会的養護(2)              演習           1     ○       －                         1   HS-362   30    0    20   30   20,pdf_curriculum_table,,source_key=human
HS-361,子育て支援演習,2,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,子育て支援                演習   ○       2    ○      －                              2             HS-361   20    20   10   30   20,pdf_curriculum_table,,source_key=human
HS-243,保育内容の理解と方法（音楽表現）演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育内容の理解と方法（音楽表現）     演習           1    ○      ○              2                             HS-243   30    20   0    0    50,pdf_curriculum_table,,source_key=human
HS-143,保育内容の理解と方法（造形表現）演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育内容の理解と方法（造形表現）     演習           1    ○      ○        2                                   HS-143   30    0    10   20   40,pdf_curriculum_table,,source_key=human
HS-244,保育内容の理解と方法（身体表現）演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育内容の理解と方法（身体表現）     演習           1    ○      ○              2                             HS-244   20    20   10   30   20,pdf_curriculum_table,,source_key=human
HS-144,保育内容の理解と方法（言語表現）演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育内容の理解と方法（言語表現）     演習           1    ○      ○        2                                   HS-144   10    30   10   10   40,pdf_curriculum_table,,source_key=human
HS-393,保育実習(1)(保育所・施設)実習,4,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育実習(1)(保育所・施設)      実習           4    ○      －                        4                   HS-393   40    0    0    60    0,pdf_curriculum_table,,source_key=human
HS-391,保育実習指導(1)(保育所)演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育実習指導(1)(保育所)       演習           1    ○      －                        2                   HS-391   30    0    20   30   20,pdf_curriculum_table,,source_key=human
HS-392,保育実習指導(1)(施設)演習,1,○,専門分野,人間科学科科目,required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育実習指導(1)(施設)        演習           1    ○      －                        2                   HS-392   30    10   10   30   20,pdf_curriculum_table,,source_key=human
HS-493,保育実習(2)(保育所)実習,2,△2,専門分野,人間科学科科目,elective-required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育実習(2)(保育所)         実習           2    △2     －                                    2       HS-493   40    0    0    60    0,pdf_curriculum_table,,source_key=human
HS-491,保育実習指導(2)(保育所)演習,1,△2,専門分野,人間科学科科目,elective-required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育実習指導(2)(保育所)       演習           1    △2     －                                    2       HS-491   30    0    20   30   20,pdf_curriculum_table,,source_key=human
HS-494,保育実習(3)(施設)実習,2,△3,専門分野,人間科学科科目,elective-required,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,保育実習(3)(施設)          実習           2    △3     －                                    2       HS-494   30    10   20   20   20,pdf_curriculum_table,,source_key=human
