stage,area,subarea,total_required_credits,必修_credits,選択必修1_credits,選択必修2_credits,自由_credits,notes
卒業,共通分野,教養科目,6,0,0,0,6,卒業要件6単位
卒業,共通分野,外国語科目,8,0,0,0,8,卒業要件8単位
卒業,共通分野,体育科目,2,2,0,0,0,体育科目2単位
卒業,専門分野,専門基礎科目,32,0,0,0,32,教育課程表の○必修・△選択必修条件を別途満たすこと
卒業,専門分野,専門科目,58,0,0,0,58,教育課程表の○必修・△選択必修条件を別途満たすこと
卒業,自由選択,自由選択,18,0,0,0,18,各区分の卒業要件超過分を合算
3年次進級,進級・着手条件,3年次進級,0,0,0,0,0,学則上、3年次進級の単位条件は個別記載なし。
4年次進級,進級・着手条件,4年次進級,0,0,0,0,0,4年次進級条件は個別明記ではなく卒業研究着手条件として管理。
卒業研究着手,進級・着手条件,卒業研究,0,0,0,0,0,3年以上在学し、100単位以上を修得しなければ卒業研究に着手できない。
