id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
LA-13E,とジェンダー(b),1,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,学 社会とジェンダー(b) 1 1 LA-13E 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-13F,日本文化の伝承(a),1,Ｇ,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,系 日本文化の伝承(a) Ｇ 1 1 LA-13F 10 30 10 10 40 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-13G,日本文化の伝承(b),1,Ｇ,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,日本文化の伝承(b) Ｇ 1 1 LA-13G 10 30 10 10 40 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-135,スポーツ・健康論,2,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,スポーツ・健康論 2 2 (2) LA-135 40 20 30 0 10,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-145,情自,1,※DS,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,情自 データサイエンスリテラシー(1) ※DS 1 2 (2) LA-145 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-241,データサイエンスリテラシー(2),1,※DS,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,データサイエンスリテラシー(2) ※DS 1 (2) 2 LA-241 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-14C,環境問題と社会,2,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,学 環境問題と社会 2 2 LA-14C 15 15 15 15 40,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-14B,情報編集入門,2,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,系 情報編集入門 2 2 LA-14B 10 10 50 10 20,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-351,グ,2,△,基礎科目,教養科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,グ Japan Studies △ 2 (2) (2) 2 LA-351 20 30 20 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-352,Global Studies(1),2,△ G,基礎科目,教養科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ー Global Studies(1) △ 2 (2) (2) 2 LA-352 20 30 20 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=80
