stage,area,subarea,total_required_credits,必修_credits,選択必修1_credits,選択必修2_credits,自由_credits,notes
卒業,基礎分野,教養科目,12,0,0,0,12,卒業要件12単位
卒業,基礎分野,外国語科目,14,0,0,0,14,卒業要件14単位
卒業,専門分野,専門基礎科目,50,0,0,0,50,教育課程表の○必修・△選択必修条件を別途満たすこと
卒業,専門分野,専門応用科目,40,0,0,0,40,教育課程表の○必修・△選択必修条件を別途満たすこと
卒業,自由選択,自由選択,8,0,0,0,8,各区分の卒業要件超過分を合算
3年次進級,進級・着手条件,3年次進級,0,0,0,0,0,2年以上在学し、50単位以上を修得しなければ3年次に進級できない。
4年次進級,進級・着手条件,4年次進級,0,0,0,0,0,4年次進級条件は個別明記ではなくキャップストーンプロジェクト着手条件として管理。
卒業研究着手,進級・着手条件,卒業研究,0,0,0,0,0,3年半以上在学し、110単位以上を修得しなければキャップストーンプロジェクトに着手できない。
