id,title,credits,raw_required,category,group,courseType
EE-243,応用電子回路,2,,専門科目,学科共通,elective
EE-244,通信工学,2,,専門科目,学科共通,elective
EE-245,符号理論,2,,専門科目,学科共通,elective
EE-321,電気電子通信応用実験(a),2,○,専門科目,学科共通,required
EE-322,電気電子通信応用実験(b),2,○,専門科目,学科共通,required
EE-331,電気回路応用,2,△2,専門科目,学科共通,elective-required
EE-332,電磁気学応用,2,△2,専門科目,学科共通,elective-required
EE-341,伝送回路,2,,専門科目,学科共通,elective
EE-342,デジタル工学,2,,専門科目,学科共通,elective
EE-343,通信信頼性工学,2,,専門科目,学科共通,elective
EE-351,電気製図(a),2,,専門科目,学科共通,elective
EE-352,電気製図(b),2,,専門科目,学科共通,elective
EE-353,電気法規及び施設管理,2,,専門科目,学科共通,elective
EE-354,プログラミング応用,2,,専門科目,学科共通,elective
EE-355,ディジタル信号処理,2,,専門科目,学科共通,elective
EE-951,特別講義(1),2,,専門科目,学科共通,elective
EE-952,特別講義(2),2,,専門科目,学科共通,elective
EE-953,特別講義(3),2,,専門科目,学科共通,elective
EE-955,サイバーフィジカルDX,2,,専門科目,学科共通,elective
SL-101,理工学と生活,2,△,専門科目,専門教養,elective-required
SL-102,工業概論,2,△,専門科目,専門教養,elective-required
SL-103,原子力汎論,2,△,専門科目,専門教養,elective-required
SL-105,知的財産,2,,専門科目,専門教養,elective
SL-201,量子力学入門,2,,専門科目,専門教養,elective
SL-202,相対論入門,2,,専門科目,専門教養,elective
SL-205,探究の進め方,2,,専門科目,専門教養,elective
EE-271,電気機器工学,2,△1,専門科目,,elective-required
EE-281,発変電工学,2,△1,専門科目,,elective-required
EE-291,デジタル通信方式,2,△1,専門科目,,elective-required
EE-311,先端工学,2,○,専門科目,,required
EE-371,パワーエレクトロニクス,2,△1,専門科目,,elective-required
EE-372,システム解析,2,△1,専門科目,,elective-required
EE-373,システム制御工学,2,△1,専門科目,,elective-required
EE-381,高電圧工学,2,△1,専門科目,,elective-required
EE-382,配電工学,2,△1,専門科目,,elective-required
EE-383,送電工学,2,△1,専門科目,,elective-required
EE-391,通信システム,2,△1,専門科目,,elective-required
EE-392,集積回路システム工学,2,△1,専門科目,,elective-required
EE-393,電磁波工学,2,△1,専門科目,,elective-required
EE-421,事例研究,4,○,専門科目,,required
EE-4A1,卒業研究(1),3,○,専門科目,,required
EE-4A2,卒業研究(2),3,○,専門科目,,required
