stage,area,subarea,total_required_credits,必修_credits,選択必修1_credits,選択必修2_credits,自由_credits,notes
3年次進級,総計,総単位数,60,,,,,2年次終了時に60単位未満は進級不可
4年次進級,総計,総単位数,100,,,,,3年次終了時に100単位以上で進級
卒業,共通分野,教養基幹科目,10,0,1,0,9,
卒業,共通分野,体育科目,1,0,1,0,0,
卒業,共通分野,外国語科目,8,4,0,0,4,
卒業,専門分野,理工学基礎科目,31,16,4,2,9,
卒業,専門分野,専門科目,60,32,10,2,16,
卒業,横断条件,DS/MS指定科目,4,,,,,うちDS科目1単位以上を必ず含む
