id,title,credits,raw_required,category,group,courseType,source_key,source_file,source_line
LA-11B,日本史(2),2,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,日本史(2)             Ｇ        2         2                                   LA-11B   10     35   10   10   35
LA-11C,西洋史(1),2,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,西洋史(1)             Ｇ        2   2                                         LA-11C   20     30   0    20   30
LA-11D,西洋史(2),2,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,西洋史(2)             Ｇ        2         2                                   LA-11D   20     30   0    20   30
LA-11E,民俗学(a),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,民俗学(a)             Ｇ        1         1                                   LA-11E   25     15   15   20   25
LA-11F,民俗学(b),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,民俗学(b)             Ｇ        1          1                                  LA-11F   25     15   15   20   25
LA-11G,宗教学,2,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,宗教学                Ｇ        2   2                                         LA-11G   30     20   0    0    50
LA-121,社会学(1a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,社会学(1a)                     1   1                                         LA-121   10     15   15   0    60
LA-122,社会学(1b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,社会学(1b)                     1    1                                        LA-122   10     15   15   0    60
LA-123,社会学(2a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,社会学(2a)                     1         1                                   LA-123   10     15   15   0    60
LA-124,社会学(2b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,教       社会学(2b)                     1          1                                  LA-124   10     5    15   20   50
LA-125,社会学入門(a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,養       社会学入門(a)                    1   1                                         LA-125   10     20   10   20   40
LA-126,社会学入門(b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,科       社会学入門(b)                    1    1                                        LA-126   10     20   10   20   40
